SearchResults
Search type: State,,,,
California,,,,
Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,FIPS Code
ACGLD4,ACGLD2,Acer glabrum Torr. ssp. douglasii (Hook.) Wesmael,,US06
ACGLG,,Acer glabrum Torr. var. greenei Keller,Greene's maple,US06
ACGLT2,ACGLT,Acer glabrum Torr. ssp. torreyi (Greene) A.E. Murray,,US06
ACGLT2,,Acer glabrum Torr. var. torreyi (Greene) Smiley,Torrey maple,US06
ACGLT2,ACTO2,Acer torreyi Greene,,US06
ACMA3,,Acer macrophyllum Pursh,bigleaf maple,US06
ACNE2,,Acer negundo L.,boxelder,US06
ACNEC2,NECA6,Negundo californicum Torr. & A. Gray,,US06
ACNEC2,,Acer negundo L. var. californicum (Torr. & A. Gray) Sarg.,California boxelder,US06
ACNEC2,ACNEC,Acer negundo L. ssp. californicum (Torr. & A. Gray) Wesmael,,US06
ACNEI2,,Acer negundo L. var. interius (Britton) Sarg.,boxelder,US06
ACNEI2,ACIN3,Acer interius Britton,,US06
ACNEI2,ACNEI,Acer negundo L. ssp. interius (Britton) Á. Löve & D. Löve,,US06
ACNEI2,NEACI,Negundo aceroides (L.) Moench ssp. interius (Britton) Á. Löve & D. Löve,,US06
ACNEI2,NEIN3,Negundo interius (Britton) Rydb.,,US06
ACSA2,ARSA9,Argentacer saccharinum (L.) Small,,US06
ACSA2,ACSAW,Acer saccharinum L. var. wieri Rehder,,US06
ACSA2,ACSAL3,Acer saccharinum L. var. laciniatum Pax,,US06
ACSA2,,Acer saccharinum L.,silver maple,US06
ACSA2,ACDA2,Acer dasycarpum Ehrh.,,US06
ACHIL,,Achillea L.,yarrow,US06
ACFI,,Achillea filipendulina Lam.,fernleaf yarrow,US06
ACMI2,,Achillea millefolium L.,common yarrow,US06
ACMIA,ACMIF,Achillea millefolium L. var. fusca (Rydb.) G.N. Jones,,US06
ACMIA,ACAL11,Achillea alpicola (Rydb.) Rydb.,,US06
ACMIA,,Achillea millefolium L. var. alpicola (Rydb.) Garrett,common yarrow,US06
ACMIA,ACFU,Achillea fusca Rydb.,,US06
ACMIA,ACLAA,Achillea lanulosa Nutt. ssp. alpicola (Rydb.) D.D. Keck,,US06
ACMIA,ACLAA2,Achillea lanulosa Nutt. var. alpicola Rydb.,,US06
ACMIA,ACSU3,Achillea subalpina Greene,,US06
ACMIA2,ACAR6,Achillea arenicola A. Heller,,US06
ACMIA2,ACBOA2,Achillea borealis Bong. var. arenicola (A. Heller) J.T. Howell,,US06
ACMIA2,,Achillea millefolium L. var. arenicola (A. Heller) Nobs,common yarrow,US06
ACMIA2,ACBOA,Achillea borealis Bong. ssp. arenicola (A. Heller) D.D. Keck,,US06
ACMIA2,ACMIM4,Achillea millefolium L. var. maritima Jeps.,,US06
ACMIC,,Achillea millefolium L. var. californica (Pollard) Jeps.,California yarrow,US06
ACMIC,ACBOC,Achillea borealis Bong. ssp. californica (Pollard) D.D. Keck,,US06
ACMIC,ACCA7,Achillea californica Pollard,,US06
ACMIC,ACBOC2,Achillea borealis Bong. var. californica (Pollard) J.T. Howell,,US06
ACMIG,ACGI2,Achillea gigantea Pollard,,US06
ACMIG,,Achillea millefolium L. var. gigantea (Pollard) Nobs,giant yarrow,US06
ACMIM2,,Achillea millefolium L. var. millefolium,common yarrow,US06
ACMIM2,ACMA14,Achillea magna auct.,,US06
ACMIO,ACAS2,Achillea aspleniifolia auct. non Vent.,,US06
ACMIO,ACLA3,Achillea laxiflora Pollard & Cockerell,,US06
ACMIO,,Achillea millefolium L. var. occidentalis DC.,western yarrow,US06
